index,Latitude,Longitude,Time Range,crime count,Occurrence of Crime
12855824,34.0656,-118.603,04:00 AM - 04:30 AM,0,No
12192513,34.0605,-118.3213,04:00 AM - 04:30 AM,0,No
18999931,34.163000000000004,-118.4889,08:00 PM - 08:30 PM,0,No
1514485,33.9367,-118.4607,02:00 AM - 02:30 AM,0,No
8924982,34.0409,-118.3201,05:30 AM - 06:00 AM,0,No
14316702,34.0782,-118.2821,04:00 PM - 04:30 PM,0,No
25501006,34.2764,-118.4618,02:00 PM - 02:30 PM,0,No
23533681,34.2331,-118.3785,02:30 PM - 03:00 PM,0,No
9084042,34.042,-118.1969,11:30 AM - 12:00 PM,0,No
21239864,34.194,-118.3352,12:00 AM - 12:30 AM,0,No
15713615,34.0997,-118.3024,05:30 AM - 06:00 AM,0,No
65370,33.7288,-118.2588,08:00 PM - 08:30 PM,0,No
12768007,34.0643,-118.3089,05:00 PM - 05:30 PM,0,No
2773072,33.965,-118.4452,12:30 PM - 01:00 PM,0,No
42688,33.7288,-118.456,06:00 AM - 06:30 AM,0,No
5060681,33.9987,-118.225,01:30 AM - 02:00 AM,0,No
5229105,34.001,-118.2979,01:00 PM - 01:30 PM,0,No
5693750,34.0109,-118.3119,02:30 PM - 03:00 PM,0,No
861201,33.7895,-118.1943,10:00 AM - 10:30 AM,0,No
10862554,34.0514,-118.3348,04:00 AM - 04:30 AM,0,No
25827652,34.3205,-118.4297,12:00 PM - 12:30 PM,0,No
21925469,34.2062,-118.3035,08:00 AM - 08:30 AM,0,No
22728255,34.218,-118.2104,09:00 PM - 09:30 PM,0,No
13095174,34.0673,-118.2856,05:00 PM - 05:30 PM,0,No
5542775,34.0087,-118.39,09:00 AM - 09:30 AM,0,No
3236483,33.9747,-118.4803,08:00 AM - 08:30 AM,0,No
15056013,34.0885,-118.4202,04:30 PM - 05:00 PM,0,No
3779820,33.9842,-118.4322,04:30 PM - 05:00 PM,0,No
5489110,34.0075,-118.2494,01:30 PM - 02:00 PM,0,No
1918139,33.9473,-118.369,11:00 AM - 11:30 AM,0,No
2059759,33.9519,-118.3899,03:30 PM - 04:00 PM,0,No
2521155,33.9601,-118.4501,02:00 PM - 02:30 PM,0,No
4730646,33.9943,-118.2756,01:00 AM - 01:30 AM,0,No
11878968,34.0577,-118.259,12:00 AM - 12:30 AM,0,No
5346266,34.0029,-118.2453,08:00 AM - 08:30 AM,0,No
23509552,34.2328,-118.2795,05:30 AM - 06:00 AM,0,No
14802495,34.0847,-118.4437,04:30 PM - 05:00 PM,0,No
23946534,34.2439,-118.2456,05:00 PM - 05:30 PM,0,No
892723,33.7896,-118.2499,02:30 AM - 03:00 AM,0,No
18226495,34.148,-118.3057,06:00 PM - 06:30 PM,0,No
14337551,34.0783,-118.4229,06:30 AM - 07:00 AM,0,No
15861936,34.1007,-118.2762,12:00 AM - 12:30 AM,0,No
20785493,34.1894,-118.2513,12:30 PM - 01:00 PM,0,No
6722625,34.0225,-118.4479,01:30 PM - 02:00 PM,0,No
22729827,34.2187,-118.6482,08:00 AM - 08:30 AM,0,No
14235463,34.078,-118.3615,04:30 AM - 05:00 AM,0,No
19210706,34.1669,-118.1664,10:00 AM - 10:30 AM,0,No
2294395,33.9557,-118.2427,09:30 PM - 10:00 PM,0,No
160943,33.7326,-118.3457,07:30 AM - 08:00 AM,0,No
14114110,34.0766,-118.5603,05:00 AM - 05:30 AM,0,No
1721624,33.9406,-118.2176,07:00 AM - 07:30 AM,0,No
13712742,34.0726,-118.2456,11:00 AM - 11:30 AM,0,No
12400332,34.0617,-118.4006,08:00 PM - 08:30 PM,0,No
10617338,34.0496,-118.2865,07:00 PM - 07:30 PM,0,No
18240811,34.148,-118.1898,08:30 AM - 09:00 AM,0,No
949541,33.7938,-118.3614,12:00 AM - 12:30 AM,0,No
20352624,34.1835,-118.2637,01:00 PM - 01:30 PM,0,No
10903970,34.0516,-118.2894,08:30 AM - 09:00 AM,0,No
8978010,34.0415,-118.5975,11:30 AM - 12:00 PM,0,No
15743539,34.1004,-118.3621,09:30 PM - 10:00 PM,0,No
25779153,34.3085,-118.2352,02:30 PM - 03:00 PM,0,No
3288462,33.9757,-118.3074,06:30 AM - 07:00 AM,0,No
3386686,33.9765,-118.4089,03:30 AM - 04:00 AM,0,No
976775,33.8012,-118.4512,10:30 AM - 11:00 AM,0,No
15428497,34.0956,-118.2891,09:00 PM - 09:30 PM,0,No
12187659,34.0605,-118.3711,09:00 PM - 09:30 PM,0,No
4715385,33.9943,-118.40799999999999,08:00 AM - 08:30 AM,0,No
3995583,33.9863,-118.4297,09:30 AM - 10:00 AM,0,No
12242598,34.0606,-118.2182,07:00 PM - 07:30 PM,0,No
4307800,33.9897,-118.2024,07:30 AM - 08:00 AM,0,No
23157066,34.228,-118.2415,12:30 PM - 01:00 PM,0,No
9737246,34.0454,-118.4632,10:30 AM - 11:00 AM,0,No
8035378,34.0337,-118.2692,11:30 AM - 12:00 PM,0,No
23937729,34.2439,-118.2951,09:00 AM - 09:30 AM,0,No
11499281,34.0553,-118.4416,01:00 PM - 01:30 PM,0,No
8640448,34.0385,-118.2976,07:30 AM - 08:00 AM,0,No
13896474,34.0743,-118.6482,03:30 PM - 04:00 PM,0,No
7843857,34.0326,-118.3615,01:30 PM - 02:00 PM,0,No
6825475,34.023,-118.5443,08:30 PM - 09:00 PM,0,No
10798584,34.0509,-118.2771,02:30 AM - 03:00 AM,0,No
8096260,34.0346,-118.3494,08:00 PM - 08:30 PM,0,No
6835284,34.023,-118.3948,01:30 PM - 02:00 PM,0,No
16050082,34.103,-118.1974,02:30 AM - 03:00 AM,0,No
5364535,34.0046,-118.3742,01:00 AM - 01:30 AM,0,No
11279091,34.0541,-118.5142,03:30 PM - 04:00 PM,0,No
22529936,34.2157,-118.3634,08:00 AM - 08:30 AM,0,No
12693894,34.0636,-118.3348,08:00 PM - 08:30 PM,0,No
20774915,34.1894,-118.3151,11:00 AM - 11:30 AM,0,No
609033,33.7795,-118.2078,03:30 AM - 04:00 AM,0,No
25631183,34.2871,-118.2631,07:30 AM - 08:00 AM,0,No
8100921,34.0346,-118.3034,12:30 AM - 01:00 AM,0,No
11857018,34.0577,-118.4509,11:00 PM - 11:30 PM,0,No
933363,33.7897,-118.1847,06:30 PM - 07:00 PM,0,No
20027919,34.1787,-118.2726,10:00 PM - 10:30 PM,0,No
10799456,34.0509,-118.2739,03:30 PM - 04:00 PM,0,No
6802210,34.0229,-118.3636,08:30 PM - 09:00 PM,0,No
8198660,34.0353,-118.4056,01:30 PM - 02:00 PM,0,No
24491004,34.2528,-118.5807,04:30 AM - 05:00 AM,0,No
7987222,34.0336,-118.3634,09:00 PM - 09:30 PM,0,No
6993234,34.0246,-118.2729,05:00 AM - 05:30 AM,0,No
25026723,34.2655,-118.2024,11:00 AM - 11:30 AM,0,No
11778269,34.0573,-118.6137,11:00 AM - 11:30 AM,0,No
20743387,34.1887,-118.2865,03:30 PM - 04:00 PM,0,No
14486420,34.0802,-118.3645,04:30 PM - 05:00 PM,0,No
12456552,34.0618,-118.2409,12:30 AM - 01:00 AM,0,No
7487262,34.0292,-118.3337,10:30 AM - 11:00 AM,0,No
17331911,34.1284,-118.287,01:30 AM - 02:00 AM,0,No
1782522,33.9428,-118.2944,12:00 AM - 12:30 AM,0,No
4716939,33.9943,-118.3899,09:30 AM - 10:00 AM,0,No
3176292,33.9733,-118.3548,04:00 PM - 04:30 PM,0,No
8903474,34.0401,-118.2153,02:30 PM - 03:00 PM,0,No
16485439,34.1077,-118.5233,12:30 AM - 01:00 AM,0,No
12485792,34.0619,-118.2795,03:30 AM - 04:00 AM,0,No
12401060,34.0617,-118.3922,08:00 AM - 08:30 AM,0,No
4034785,33.9875,-118.3878,11:30 AM - 12:00 PM,0,No
8878098,34.0401,-118.4409,04:30 PM - 05:00 PM,0,No
5747744,34.0132,-118.5575,10:00 AM - 10:30 AM,0,No
12522743,34.0621,-118.2753,08:00 AM - 08:30 AM,0,No
10499339,34.049,-118.3743,04:30 AM - 05:00 AM,0,No
8015274,34.0337,-118.4487,05:30 PM - 06:00 PM,0,No
20988286,34.1915,-118.3384,06:30 AM - 07:00 AM,0,No
2995687,33.9698,-118.366,12:30 AM - 01:00 AM,0,No
22388515,34.2147,-118.3402,09:00 AM - 09:30 AM,0,No
652097,33.7835,-118.4662,09:30 AM - 10:00 AM,0,No
